[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9cZnq42EufK/video.m3u8
[पाठ्यक्रम परिचर्चा] - Part-2 || पाठ्यक्रम परिचर्चा || 23-May : https://d1q5ugnejk3zoi.cloudfront.net/live/bg5yak/6FCzxucTk4c/video.m3u8
[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5SNSATN8ehB/video.m3u8
[पाठ्यक्रम परिचर्चा] - Part-2 || पाठ्यक्रम परिचर्चा || 23-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9zAkeTdrrzg/video.m3u8
[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा || 24-March : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2497950/utk-56/1742794209/index.m3u8
[वर्ण विचार] - Part-1 || वर्ण-विचार || 25-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5MCX7QFYxmb/video.m3u8
[वर्ण विचार] - Part-2 || वर्ण-विचार || 26-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3a2kGUU2CuD/video.m3u8
[वर्ण विचार] - Part-3 || वर्ण-विचार || 27-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6bKtt7JFcS2/video.m3u8
[संधि] - Part-1 || संधि || 28-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6GHaX6KGxz4/video.m3u8
[संधि] - Part-2 || संधि || 29-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4a62qxqfe67/video.m3u8
[संधि] - Part-3 || संधि || 01-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7Z4J6xMnq4G/video.m3u8
[संधि] - Part-4 || संधि || 02-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/37tGrtDnfxA/video.m3u8
[संधि] - Part-5 || संधि || 03-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3SMkAFkNquE/video.m3u8
[उपसर्ग] - Part-1 || उपसर्ग || 04-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/Z9b9YPT9PA7/video.m3u8
[उपसर्ग] - Part-2 || उपसर्ग || 05-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3tEKceQX9aS/video.m3u8
[उपसर्ग] - Part-3 || उपसर्ग || 07-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6AS2pBrHdrJ/video.m3u8
[उपसर्ग] - Part-4 || उपसर्ग || 08-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4XDbKxHUuyA/video.m3u8
[वाक्य शुद्धि] - Part-1 || वाक्य शुद्धि || 11-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AjMbH2UN93k/video.m3u8
