[Phonetics] - Part-1 || phonetics || 24-March : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2498311/utk-14/1742801634/index.m3u8
[Phonetics] - Part-2 || phonetics|| 25-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5ZSZXHdHCqY/video.m3u8
[Phonetics] - Part-3 || phonetics|| 26-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7YKnDrp2MxB/video.m3u8
[Phonetics] - Part-4 || phonetics|| 29-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6efKgz9jqtS/video.m3u8
[Phonetics] - Part-5 || phonetics|| 30-March : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/B8Fs4XzSDgM/video.m3u8
[Phonetics] - Part-6 || phonetics|| 01-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4eMQhyd2mUN/video.m3u8
[Phonetics] - Part-7 || phonetics|| 02-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/63YnNUd9Eh2/video.m3u8
[Phonetics] - Part-8 || phonetics|| 14-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/43SH6JemmeY/video.m3u8
[Phonetics] - Part-9 || phonetics|| 16-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4d24yN9NaFE/video.m3u8
[Phonetics] - Part-10 || phonetics|| 17-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/A5taFK8rbtq/video.m3u8
[Phonetics] - Part-11 || phonetics|| 18-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6UqD7YhAC8X/video.m3u8
[Phonetics] - Part-12 || phonetics|| 19-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2572363/utk-36/1747632920/index.m3u8
[Phonetics] - Part-13 || phonetics|| 20-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/89BGk24dfmj/video.m3u8
[Word stress] - Part-1 || Word Stress || 21-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/632Y8fcd8JD/video.m3u8
[Word stress] - Part-2 || Word Stress || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/55ubtxmyJhC/video.m3u8
[Word stress] - Part-3 || Word Stress || 23-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3z23ykpfcaX/video.m3u8
[Figure of Speech] - Part-1 || Figure Of Speech || 02-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4ZDMYpZCaSP/video.m3u8
[Figure of Speech] - Part-2 || Figure Of Speech || 03-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6geu3fjBS43/video.m3u8
[Figure of Speech] - Part-3 || Figure Of Speech || 04-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7CRKaGd79Q7/video.m3u8
[An Acquaintance with Literary Forms Devices] - Part-1 || An Acquaintance with Literary Forms Devices || 05-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9MZ7Skfxzyg/video.m3u8
[An Acquaintance with Literary Forms Devices] - Part-2 || An Acquaintance with Literary Forms Devices || 07-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8YFrRzekGun/video.m3u8
[An Acquaintance with Literary Forms Devices] - Part-3 || An Acquaintance with Literary Forms Devices || 08-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/B3X3mQ7DFuN/video.m3u8
[An Acquaintance with Literary Forms Devices] - Part-4 || An Acquaintance with Literary Forms Devices || 09-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7kFPT8UKk2C/video.m3u8
[An Acquaintance with Literary Forms Devices] - Part-5 || An Acquaintance with Literary Forms Devices || 10-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9F8YdYH7R3F/video.m3u8
