[Current Affairs Test (18-May, 2025)] - 2nd/3rd Grade Current Affairs || 18-May, 2025 (Digital OMR Test) : https://apps-s3-jw-prod.utkarshapp.com/jw_v3/QhANd3YD/QhANd3YD.m3u8
[मनोविज्ञान, भूगोल और अर्थव्यवस्था] - 2nd Grade GK Target B-01 || मनोविज्ञान, भूगोल और अर्थव्यवस्था || 20-May (Digital OMR Test) : https://apps-s3-jw-prod.utkarshapp.com/jw_v3/PYa6v8Dn/videos/yLHbK95D-notrbHqj.mp4
[मनोविज्ञान, भूगोल और अर्थव्यवस्था] - 2nd Grade GK Target B-01 || मनोविज्ञान, भूगोल और अर्थव्यवस्था || 20-May : https://apps-s3-jw-prod.utkarshapp.com/jw_v3/IErxdd7d/videos/vqziPHQY-notrbHqj.mp4
[अर्थव्यवस्था का परिचय] - Part-1 || अर्थव्यवस्था का परिचय || 18-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2529078/utk-38/1744953993/index.m3u8
[अर्थव्यवस्था का परिचय] - Part-2 || अर्थव्यवस्था का परिचय || 19-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2530620/utk-5/1745040519/index.m3u8
[विदेशी व्यापार] - Part-1 || विदेशी व्यापार || 21-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2532263/utk-6/1745213278/index.m3u8
[विदेशी व्यापार] - Part-2 || विदेशी व्यापार || 22-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2534117/utk-25/1745299715/index.m3u8
[विदेशी व्यापार] - Part-3 || विदेशी व्यापार || 23-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2535645/utk-39/1745385880/index.m3u8
[विदेशी व्यापार] - Part-4 || विदेशी व्यापार || 24-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2537331/utk-23/1745472266/index.m3u8
[विदेशी व्यापार] - Part-5 || विदेशी व्यापार || 25-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2538903/utk-31/1745558768/index.m3u8
[विदेशी व्यापार] - Part-6 || विदेशी व्यापार || 26-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2540460/utk-16/1745645202/index.m3u8
[विदेशी व्यापार] - Part-7 || विदेशी व्यापार || 28-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2542064/utk-32/1745825247/index.m3u8
[विदेशी व्यापार] - Part-8 || विदेशी व्यापार || 29-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2544015/utk-40/1745911723/index.m3u8
[विदेशी व्यापार] - Part-9 || विदेशी व्यापार || 30-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2545615/utk-41/1745998021/index.m3u8
[भारत के कृषि क्षेत्र] - Part-1 || कृषि क्षेत्र || 01-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2547430/utk-34/1746084318/index.m3u8
[भारत के कृषि क्षेत्र] - Part-2 || कृषि क्षेत्र || 02-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2548810/utk-13/1746170839/index.m3u8
[भारत के कृषि क्षेत्र] - Part-3 || कृषि क्षेत्र || 03-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2550398/utk-32/1746257407/index.m3u8
[औद्योगिक क्षेत्र] - Part-1 || औद्योगिक क्षेत्र || 05-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2551982/utk-36/1746429990/index.m3u8
[औद्योगिक क्षेत्र] - Part-2 || औद्योगिक क्षेत्र || 06-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2553944/utk-50/1746516494/index.m3u8
[औद्योगिक क्षेत्र] - Part-3 || औद्योगिक क्षेत्र || 07-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2555618/utk-37/1746602778/index.m3u8
[औद्योगिक क्षेत्र] - Part-4 || औद्योगिक क्षेत्र || 08-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2557199/utk-26/1746688453/index.m3u8
[अधिगम ] - Part-1 || अधिगम || 17-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2527820/utk-32/1744860831/index.m3u8
[अधिगम ] - Part-2 || अधिगम || 18-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2529102/utk-31/1744947167/index.m3u8
[अधिगम ] - Part-3 || अधिगम || 19-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2530619/utk-36/1745033525/index.m3u8
[अधिगम ] - Part-4 || अधिगम || 21-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2532261/utk-38/1745206371/index.m3u8
[अधिगम ] - Part-5 || अधिगम || 22-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2534115/utk-29/1745292713/index.m3u8
[अधिगम ] - Part-6 || अधिगम || 23-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2535644/utk-18/1745379132/index.m3u8
[अधिगम ] - Part-7 || अधिगम || 24-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2537330/utk-20/1745465593/index.m3u8
[अधिगम ] - Part-8 || अधिगम || 25-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2538902/utk-31/1745551967/index.m3u8
[अधिगम ] - Part-9 || अधिगम || 26-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2540458/utk-20/1745638290/index.m3u8
[अधिगम ] - Part-10 || अधिगम || 28-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2542063/utk-41/1745811151/index.m3u8
[अधिगम ] - Part-11 || अधिगम || 29-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2544013/utk-18/1745897612/index.m3u8
[अधिगम ] - Part-12 || अधिगम || 30-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2545613/utk-19/1745984023/index.m3u8
[अधिगम ] - Part-13 || अधिगम || 30-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2545614/utk-33/1745991146/index.m3u8
[अधिगम ] - Part-14 || अधिगम || 01-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2547431/utk-22/1746070289/index.m3u8
[बुद्धि] - Part-1 || बुद्धि || 01-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2547425/utk-12/1746077492/index.m3u8
[बुद्धि] - Part-2 || बुद्धि || 02-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2548806/utk-15/1746156717/index.m3u8
[बुद्धि] - Part-3 || बुद्धि || 03-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2550396/utk-37/1746243053/index.m3u8
[बुद्धि] - Part-4 || बुद्धि || 05-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2551979/utk-22/1746415851/index.m3u8
[बुद्धि] - Part-5 || बुद्धि || 06-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2553942/utk-14/1746502270/index.m3u8
[बुद्धि] - Part-6 || बुद्धि || 07-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2555615/utk-7/1746588604/index.m3u8
[व्यक्तित्व] - Part-1 || व्यक्तित्व || 08-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2557169/utk-19/1746675041/index.m3u8
[व्यक्तित्व] - Part-2 || व्यक्तित्व || 09-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2558739/utk-15/1746761395/index.m3u8
[व्यक्तित्व] - Part-3 || व्यक्तित्व || 10-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2560290/utk-39/1746847925/index.m3u8
[व्यक्तित्व] - Part-4 || व्यक्तित्व || 12-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2561857/utk-4/1747020787/index.m3u8
[व्यक्तित्व] - Part-5 || व्यक्तित्व || 13-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2563315/utk-29/1747107226/index.m3u8
[समायोजन (Adjustment)] - Part-1 || समायोजन || 14-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2564999/utk-45/1747193545/index.m3u8
[समायोजन (Adjustment)] - Part-2 || समायोजन || 15-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2566636/utk-12/1747279871/index.m3u8
[समायोजन (Adjustment)] - Part-3 || समायोजन || 16-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2568493/utk-36/1747366309/index.m3u8
[अभिप्रेरणा] - Part-1 || अभिप्रेरणा || 17-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2570252/utk-22/1747452738/index.m3u8
[अभिप्रेरणा] - Part-2 || अभिप्रेरणा || 19-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2571679/utk-4/1747625381/index.m3u8
[अभिप्रेरणा] - Part-3 || अभिप्रेरणा || 20-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2573683/utk-50/1747712155/index.m3u8
[शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता] - Part-1 || शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता || 21-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2575378/utk-36/1747798264/index.m3u8
[शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता] - Part-2 || शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता || 22-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2577170/utk-12/1747884745/index.m3u8
[शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता] - Part-3 || शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता || 23-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2579070/utk-17/1747971051/index.m3u8
[शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता] - Part-4 || शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता || 23-May : https://d2qnoev5qjpur5.cloudfront.net/out/v1/505cede93075452581fc84622e85aceb/index.m3u8
[पाठ्यक्रम  परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा || 28-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2542675/utk-30/1745818414/index.m3u8
[भूगोल की सामान्य जानकारी] - Part-1 || भूगोल की सामान्य जानकारी || 29-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2544014/utk-33/1745904775/index.m3u8
[भूगोल की सामान्य जानकारी] - Part-2 || भूगोल की सामान्य जानकारी || 02-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2548811/utk-6/1746163537/index.m3u8
[वैश्विक पवनें] - Part-1 || वैश्विक पवनें || 03-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2550397/utk-25/1746250155/index.m3u8
[वैश्विक पवनें] - Part-2 || वैश्विक पवनें || 05-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2551980/utk-6/1746422981/index.m3u8
[वैश्विक पवनें] - Part-3 || वैश्विक पवनें || 06-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2553943/utk-53/1746509645/index.m3u8
[वैश्विक पवनें] - Part-4 || वैश्विक पवनें || 07-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2555617/utk-19/1746595809/index.m3u8
