(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान के प्रमुख अनुसंधान केंद्र || 18-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2058613/plain/720x1280.mp4
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2 || राजस्थान के प्रमुख अनुसंधान केंद्र || 19-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2059957/plain/720x1280.mp4
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-3 || राजस्थान के प्रमुख अनुसंधान केंद्र || 20-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2061489/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || पाठ्यक्रम  परिचर्चा|| 16-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1830088/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || पाठ्यक्रम  परिचर्चा|| 18-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1832347/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान की स्थिति एवं विस्तार|| 18-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1832348/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान की स्थिति एवं विस्तार|| 19-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1834248/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान की स्थिति एवं विस्तार|| 20-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1835143/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान की स्थिति एवं विस्तार|| 21-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1837288/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || नवीन जिलों का गठन || 22-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1838414/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान के संभाग || 23-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1839915/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान के भौतिक प्रदेश  || 23-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1840358/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान के भौतिक प्रदेश  || 24-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1841339/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान के भौतिक प्रदेश  || 24-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1841340/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान के भौतिक प्रदेश  || 25-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1858084/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-5 || राजस्थान के भौतिक प्रदेश  || 26-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1843104/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-6 || राजस्थान के भौतिक प्रदेश  || 27-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1844652/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-7 || राजस्थान के भौतिक प्रदेश  || 28-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1846177/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-8 || राजस्थान के भौतिक प्रदेश  || 29-September : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1847637/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-9 || राजस्थान के भौतिक प्रदेश  || 03-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1851182/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-10 || राजस्थान के भौतिक प्रदेश  || 04-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1852614/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-11 || राजस्थान के भौतिक प्रदेश  || 06-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1855520/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-1 || राजस्थान की प्रमुख नदियाँ  || 07-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1856854/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-2 || राजस्थान की प्रमुख नदियाँ  || 07-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1856855/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-3 || राजस्थान की प्रमुख नदियाँ  || 08-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1858394/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-4 || राजस्थान की प्रमुख नदियाँ  || 09-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1859251/plain/720x1280.mp4
(राजस्थान का भूगोल - रघुवीर सर) Part-5 || राजस्थान की प्रमुख नदियाँ || 10-October : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1860310/plain/720x1280.mp4
