Class-01 | Maths | Intro : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6362660621112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-02 | Maths | Intro : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6362701724112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-03 | Maths | Multiplication : https://www.youtube.com/embed/LOpqC2OxFW4
Class-04 | Maths | Percentage Calculation : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6362786053112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-05 | Maths | Percentage Calculation : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6362829046112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-06 | Maths | Percentage Calculation : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6362931417112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-07 | Maths | Percentage Calculation : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6362971563112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-08 | Maths | Simplification : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6363020010112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-09 | Maths | Simplification : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6363062613112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-10 | Maths | Simplification : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6363111519112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
Class-11 | Maths | Simplification : https://edge.api.brightcove.com/playback/v1/accounts/6206459123001/videos/6363228544112/master.m3u8?bcov_auth=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NTExOTY4NzMsImNvbiI6eyJpc0FkbWluIjpmYWxzZSwiYXVzZXIiOiJVMFZ6TkdGU2NuQlZjR3h5TkZwV09FYzBURGxOZHowOSIsImlkIjoiYUdGblVVUlBSV2xYZVUxQ1RtaDZURmh4VTJ0U1VUMDkiLCJmaXJzdF9uYW1lIjoiUm1SUE0wcDRlSHBQVjBnMk5IWm9TbTFCZWxsa1VUMDkiLCJlbWFpbCI6IlNsUlFWRmhXVXl0blN6RkhiV1lyUWtaVFIyZE9ZV2RqTTIxNVZXOVdiaXRpYTBjM01FdDJNbEUzZHowPSIsInBob25lIjoiUXpSRFFWUjBkMjVQTm1SRlJuWnZiMjVSTmxaNlp6MDkiLCJhdmF0YXIiOiJLM1ZzY1M4elMwcDBRbmxrYms4M1JEbHZla05pVVQwOSIsInJlZmVycmFsX2NvZGUiOiJaRFZXT1dGcFFuRjJXa1Z6U1cxSmNVWXdZVnBxVVQwOSIsImRldmljZV90eXBlIjoiYW5kcm9pZCIsImRldmljZV92ZXJzaW9uIjoiUShBbmRyb2lkIDEwLjApIiwiZGV2aWNlX21vZGVsIjoiWGlhb21pIE0yMDA3SjIwQ0kiLCJyZW1vdGVfYWRkciI6IjQ0LjIwMi4xOTMuMjIwIn19.qpt2iMiyWdKpB6oGEy0obSHnGXAQ3YzeMRPwSw5X4eQ7WYLqwCEHWdUMsjlwRI8t9IjvAEVCfpCb6DgaL1RcNEypvzyH7_N7-Zug7quHI8OfB4Xq0ddT2mlWgt0mtqmbwLbolVGHwowy0AleP3RoFH7CdeQbwFnXQEUiyrC3YiROlsdwTMt_g0YA3KfCLPYbK4SnKVWrgRTE1T7an8_vFTOyi6ML_7eEtZKE1KolLbNlsOjqtn51HpSbkH3rRcrmRA4D9cu_HVA48LogJIh4MRFP8dTANpi1YuosBlVQZEP-reMXl2_HDDQqWWSipQICT8kkD-x3S0HmnKlMn-pRiw
